target,trial,is_best_for_target,val_mae,val_wmae,best_iteration,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,use_sample_weights,weight_alpha,weight_p,weight_clip_max
target_bow_f1__full,66,0,0.027624187336726343,,159,600,4,0.03,0.8,1.0,5,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,67,0,0.03042915010716388,,258,400,6,0.02,0.8,0.6,5,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,68,0,0.02817921381995866,,356,1200,3,0.03,1.0,0.8,1,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,69,0,0.027503428179756317,,234,1000,5,0.02,0.6,0.6,1,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,70,0,0.031667997452911704,,129,600,3,0.1,0.6,0.6,5,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,71,0,0.030826088083757988,,576,1600,7,0.01,0.6,0.6,5,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,72,0,0.031828478517828065,,399,400,4,0.01,0.6,0.8,10,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,73,0,0.035791993150990506,,21,400,6,0.1,1.0,0.6,5,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,74,0,0.0351943455276597,,262,800,6,0.03,0.8,0.8,10,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,75,0,0.03035948375690534,,655,1600,5,0.01,0.8,0.6,5,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,76,0,0.03045028268714793,,189,400,6,0.03,0.8,1.0,5,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,77,0,0.030603999195510257,,399,400,6,0.01,0.8,0.6,5,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,78,0,0.0309893408103206,,399,400,6,0.01,0.6,0.6,10,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,79,0,0.027559397118047196,,185,400,5,0.02,1.0,0.6,1,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,80,0,0.0313499865087621,,100,800,3,0.03,1.0,1.0,5,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,81,0,0.03574930225909205,,181,600,5,0.1,0.6,0.8,1,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,82,0,0.035574345728098825,,641,1600,6,0.02,0.6,0.6,5,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,83,0,0.02727424692484497,,371,1200,6,0.01,0.8,0.6,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,84,0,0.03472080412216409,,130,600,6,0.03,0.8,1.0,1,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,85,0,0.031082048353207836,,196,1600,5,0.03,0.6,1.0,10,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,86,0,0.02693875337922509,,148,400,7,0.03,0.8,0.6,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,87,0,0.03428749306586279,,295,1600,3,0.05,0.8,0.6,10,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,88,0,0.03088811083289211,,279,1200,7,0.02,0.6,0.8,1,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,89,0,0.035703653466896225,,440,1200,6,0.02,0.8,1.0,10,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,90,0,0.031184619773735114,,324,600,6,0.01,1.0,0.8,3,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,91,0,0.031108201183416458,,239,400,6,0.03,0.6,1.0,10,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,92,0,0.027739299924112303,,158,600,4,0.03,1.0,0.8,10,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,93,0,0.03528663889413493,,598,600,3,0.01,0.8,0.6,10,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,94,0,0.03502328151009645,,262,1000,5,0.03,0.8,0.8,1,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,95,0,0.03431014036811686,,506,1000,5,0.03,0.8,1.0,10,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,96,0,0.02832501453177464,,141,1000,7,0.03,0.6,1.0,1,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,97,0,0.034632554671809146,,396,1200,6,0.03,0.8,1.0,5,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,98,0,0.030768349758487915,,145,1000,3,0.05,0.6,0.8,1,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,99,0,0.027874077502289128,,182,1000,5,0.03,0.6,1.0,5,0.0,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,100,0,0.03560137798436659,,139,1000,4,0.05,0.6,0.6,5,0.3,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,86,1,0.02693875337922509,,148,400,7,0.03,0.8,0.6,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,1,0,0.041480456843100456,,482,800,4,0.01,0.6,1.0,3,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,2,0,0.03545081758630197,,197,600,3,0.05,1.0,1.0,5,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,3,0,0.04212211134542451,,140,1200,3,0.05,0.6,1.0,1,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,4,0,0.0410875460106487,,83,1000,4,0.03,1.0,0.6,3,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,5,0,0.0357451394720034,,48,600,6,0.1,1.0,1.0,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,6,0,0.0367753869669488,,545,1200,3,0.01,0.8,0.8,3,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,7,0,0.03688934704591587,,470,1200,6,0.01,0.6,1.0,5,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,8,0,0.036289751748588985,,245,400,6,0.02,0.8,0.6,1,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,9,0,0.04173048921069468,,310,400,3,0.02,0.6,0.8,3,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,10,0,0.04050817467430054,,163,1000,6,0.05,0.8,0.8,5,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,11,0,0.03666812019339942,,1035,1600,3,0.01,0.8,1.0,10,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,12,0,0.04125288667421027,,135,400,4,0.05,0.8,0.6,3,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,13,0,0.0332739848748605,,1018,1200,4,0.01,0.8,0.6,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,14,0,0.03469875820178412,,799,800,3,0.01,0.8,0.8,5,0.0,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,15,0,0.04119527823909591,,121,1000,3,0.1,0.8,0.8,1,0.3,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,16,0,0.04061486969039979,,130,600,4,0.05,0.8,1.0,10,0.3,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,17,0,0.03340067994965802,,654,800,6,0.01,0.8,0.6,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,18,0,0.04128797355550505,,327,1600,4,0.03,0.8,0.8,10,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,19,0,0.03647903747334062,,508,800,5,0.01,0.8,0.8,3,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,20,0,0.041438316664309964,,50,1600,3,0.05,1.0,0.6,5,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,21,0,0.041552740889330024,,503,1200,7,0.01,0.6,0.8,3,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,22,0,0.03377160205284483,,328,400,3,0.03,1.0,0.8,1,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,23,0,0.040886981244207414,,488,1000,7,0.02,0.8,0.8,1,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,24,0,0.03312837404942159,,268,800,7,0.03,0.6,0.8,1,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,25,0,0.03660339319910933,,108,400,7,0.1,0.8,0.8,1,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,26,0,0.04156680659458687,,244,800,4,0.01,1.0,1.0,5,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,27,0,0.03361399772526667,,257,1000,4,0.03,0.8,0.8,10,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,28,0,0.03388406267938308,,291,800,4,0.05,0.8,0.6,10,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,29,0,0.042386187917796976,,235,400,3,0.02,0.6,0.8,3,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,30,0,0.0367937070829379,,236,800,7,0.03,0.8,0.8,1,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,31,0,0.03705798989327055,,58,1000,5,0.05,1.0,1.0,10,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,32,0,0.03387906046501351,,358,1000,3,0.05,1.0,1.0,1,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,33,0,0.034819363991123085,,60,400,7,0.1,1.0,0.6,5,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,34,0,0.03676622564247977,,218,600,3,0.02,0.8,0.6,10,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,35,0,0.04086914729694463,,85,1600,7,0.1,0.8,0.6,3,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,36,0,0.041589604008324246,,266,1000,6,0.02,0.6,1.0,1,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,37,0,0.036331106360549,,167,400,7,0.05,0.8,0.6,1,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,38,0,0.03704854757579954,,312,400,7,0.01,1.0,0.6,5,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,39,0,0.04118764096651401,,83,1000,4,0.03,1.0,0.6,1,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,40,0,0.03437397129656572,,483,1200,3,0.03,0.8,1.0,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,41,0,0.034025680282976555,,794,800,3,0.01,0.8,1.0,1,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,42,0,0.03497281564528434,,146,1200,6,0.03,1.0,1.0,10,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,43,0,0.03313762263342681,,895,1000,6,0.01,0.6,1.0,10,0.0,0.1,2.0,0,5.0,2.0,50.0
